plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,growth.rate
7_WT_10_m,7,M,9,WT,10,6,,,#REF!
7_WT_10_m,7,M,10,WT,10,6,,,#REF!
7_WT_10_m,7,M,11,WT,10,6,,,#REF!
7_WT_10_m,7,M,12,WT,10,6,,,#REF!
7_WT_10_m,7,M,13,WT,10,6,,,#REF!
7_WT_10_m,7,M,14,WT,10,6,,,#REF!
7_WT_10_m,7,M,15,WT,10,6,,,#REF!
7_WT_10_m,7,M,16,WT,10,6,,,#REF!
7_WT_10_m,7,M,17,WT,10,6,,,#REF!
7_WT_10_m,7,M,18,WT,10,6,,,#REF!
7_WT_10_m,7,M,19,WT,10,6,,,#REF!
7_WT_10_m,7,M,20,WT,10,6,,,#REF!
7_WT_10_m,7,M,21,WT,10,6,,,#REF!
7_WT_10_m,7,M,22,WT,10,6,,,#REF!
7_WT_10_m,7,M,23,WT,10,6,,,#REF!
7_WT_15_m,7,M,1,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,2,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,3,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,4,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,5,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,6,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,7,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,8,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,9,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,10,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,11,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,12,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,13,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,14,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,15,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,16,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,17,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,18,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,19,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,20,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,21,WT,15,6,,,#DIV/0!
7_WT_15_m,7,M,22,WT,15,6,,,#DIV/0!
7_WT_20_m,7,M,1,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,2,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,3,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,4,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,5,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,6,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,7,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,8,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,9,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,10,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,11,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,12,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,13,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,14,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,15,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,16,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,17,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,18,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,19,WT,20,6,,,#DIV/0!
7_WT_20_m,7,M,20,WT,20,6,,,#DIV/0!
7_WT_controla_j,7,M,1,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,2,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,3,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,4,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,5,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,6,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,7,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,8,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,9,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,10,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,11,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,12,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,13,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,14,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,15,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,16,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,17,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,18,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,19,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,20,WT,0,7,,,#DIV/0!
7_WT_controla_m,7,M,21,WT,0,7,,,#DIV/0!
7_WT_5_m,7,M,1,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,2,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,3,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,4,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,5,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,6,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,7,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,8,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,9,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,10,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,11,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,12,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,13,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,14,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,15,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,16,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,17,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,18,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,19,WT,5,7,,,#DIV/0!
7_WT_5_m,7,M,20,WT,5,7,,,#DIV/0!
7_WT_7.5_m,7,M,1,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,2,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,3,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,4,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,5,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,6,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,7,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,8,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,9,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,10,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,11,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,12,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,13,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,14,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,15,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,16,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,17,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,18,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,19,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,20,WT,7.5,7,,,#DIV/0!
7_WT_7.5_m,7,M,21,WT,7.5,7,,,#DIV/0!
7_WT_10_m,7,M,1,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,2,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,3,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,4,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,5,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,6,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,7,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,8,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,9,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,10,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,11,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,12,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,13,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,14,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,15,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,16,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,17,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,18,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,19,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,20,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,21,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,22,WT,10,7,,,#DIV/0!
7_WT_10_m,7,M,23,WT,10,7,,,#DIV/0!
7_WT_15_m,7,M,1,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,2,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,3,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,4,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,5,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,6,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,7,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,8,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,9,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,10,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,11,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,12,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,13,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,14,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,15,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,16,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,17,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,18,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,19,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,20,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,21,WT,15,7,,,#DIV/0!
7_WT_15_m,7,M,22,WT,15,7,,,#DIV/0!
7_WT_20_m,7,M,1,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,2,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,3,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,4,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,5,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,6,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,7,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,8,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,9,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,10,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,11,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,12,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,13,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,14,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,15,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,16,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,17,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,18,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,19,WT,20,7,,,#DIV/0!
7_WT_20_m,7,M,20,WT,20,7,,,#DIV/0!
